#                                      ID                                       # sources in
# Name              RA       Dec      Number   Rate/s   err/s     sigma  t(sec)  src  bkgd
PSZ2_G247.14+25.88  142.6283 -14.5478  458.00  0.05782  0.01277   4.53   391.74    0    0
PSZ2_G248.95-20.71   98.0224 -40.6087  459.00  0.00529  0.00539   0.98   493.53    0    0
PSZ2_G250.43-09.02  112.6019 -37.3537  460.00  0.02042  0.00986   2.07   287.51    0    2
PSZ2_G250.47-33.97   80.7593 -44.7921  461.00  0.00586  0.00494   1.19   574.84    0    0
PSZ2_G250.73+22.85  142.5033 -19.0000  462.00  0.00162  0.00478   0.34   470.60    0    0
PSZ2_G251.21-16.74  103.9363 -41.2525  463.00  0.02702  0.00754   3.58   594.05    0    0
PSZ2_G251.55-42.78   68.2533 -45.8395  464.00  0.03109  0.00753   4.13   728.76    0    1
PSZ2_G252.45+73.44  179.6442  16.0051  465.00  0.00496  0.00506   0.98   443.88    0    0
PSZ2_G252.51+20.02  141.4442 -22.1319  466.00  0.00148  0.00474   0.31   475.02    0    1
PSZ2_G253.43+30.57  150.0920 -15.4101  467.00  0.03175  0.00963   3.30   415.71    0    0
PSZ2_G253.44-10.93  112.1382 -40.8546  468.00 -0.00325  0.00550  -0.59   183.97    0    0
PSZ2_G253.95+39.12  156.4540  -9.5223  469.00 -0.00248  0.00361  -0.69   395.74    0    0
PSZ2_G254.10+19.95  142.4823 -23.2730  470.00  0.00400  0.00448   0.89   501.22    0    0
PSZ2_G254.52+08.27  132.8766 -31.2645  471.00  0.02271  0.00819   2.77   457.89    0    0
PSZ2_G254.52+62.52  172.4883   7.5847  472.00  0.00240  0.00466   0.52   431.88    0    0
PSZ2_G256.41+32.31  153.2545 -15.8915  473.00  0.02240  0.00812   2.76   461.62    0    1
PSZ2_G260.80+06.71  136.2993 -37.0250  474.00  0.00966  0.00607   1.59   523.20    0    0
PSZ2_G261.11+34.90  158.0988 -16.4441  475.00  0.00256  0.00538   0.48   374.16    0    0
PSZ2_G261.67-10.97  117.3343 -48.0421  476.00  0.07230  0.01299   5.57   481.20    1    0
PSZ2_G263.65+27.87  155.3216 -23.3149  477.00  0.02351  0.00914   2.57   379.64    0    0
PSZ2_G263.96+40.64  163.5169 -13.1794  478.00 -0.00526  0.00272  -1.93   375.84    0    0
PSZ2_G264.52-17.77  109.4666 -53.4518  479.00  0.00323  0.00520   0.62   432.69    0    0
PSZ2_G265.35+08.06  141.4942 -39.3761  480.00  0.02575  0.00882   2.92   508.37    0    0
PSZ2_G265.60-46.87   58.7616 -54.7467  481.00 -0.00911  0.00185  -4.94   566.71    0    2
PSZ2_G266.50-25.31   97.6560 -57.3855  482.00 -0.00461  0.00175  -2.64  1009.43    0    0
PSZ2_G267.30-46.19   59.1299 -56.0793  483.00  0.00237  0.00392   0.60   726.22    0    0
PSZ2_G267.55+09.14  144.5157 -40.0882  484.00 -0.00839  0.00226  -3.71   458.89    0    0
PSZ2_G268.07+09.39  145.2401 -40.2459  485.00  0.01708  0.00769   2.22   451.68    0    0
PSZ2_G269.02+46.30  169.7937 -10.3987  486.00  0.00085  0.00563   0.15   358.02    0    1
PSZ2_G270.07-20.02  109.0293 -59.1584  487.00  0.01639  0.00451   3.63  1238.23    0    1
PSZ2_G270.45-14.50  118.9005 -57.2499  488.00  0.02245  0.00683   3.29   639.63    0    1
PSZ2_G270.88+37.23  166.3311 -18.9486  489.00  0.01384  0.00846   1.64   355.87    0    0
PSZ2_G271.04-12.16  123.1562 -56.5993  490.00  0.01940  0.00581   3.34   896.46    0    0
PSZ2_G271.15+21.10  157.0897 -32.7955  491.00  0.01090  0.00751   1.45   353.37    0    0
